draw_task,enum_name,category,macro_guard,description_zh,description_en,typical_trigger,api_entry,sw_support,evgpu_support,crt_support,mae_vs_sw_difficulty,mae_notes,unity_tests_widgets,unity_tests_draw,bench_scene,notes,
NONE,LV_DRAW_TASK_TYPE_NONE,meta,always,占位/无效任务类型,Sentinel / unused task type,—,—,n/a,n/a,n/a,n/a,—,—,—,—,枚举起点不参与绘制,
FILL,LV_DRAW_TASK_TYPE_FILL,2d,always,矩形/圆角矩形填充；可含纯色或渐变背景,Filled rect/rrect; solid or gradient fill,obj bg / bg_grad / lv_draw_fill / lv_draw_rect,lv_draw_fill / lv_draw_rect,yes,yes (pref80),yes (pref70),low_to_medium,实心直角易贴近；圆角与渐变 AA 会抬高 MAE,大量 widget 截图间接覆盖,test_draw_blend / test_clip_corner / test_render_to_*,fill_scene / gradient_scene / G3 cards,最常见 2D 任务,
BORDER,LV_DRAW_TASK_TYPE_BORDER,2d,always,描边矩形/圆角环,Border / stroke around rect or rrect,style border_width>0 / lv_draw_border,lv_draw_border,yes,yes,yes,low_to_medium,直角边易贴近；圆角描边 AA 难为零,widget 截图间接；无独立 test_draw_border,test_clip_corner 等连带,border_scene / G3 card border,,
BOX_SHADOW,LV_DRAW_TASK_TYPE_BOX_SHADOW,2d,always,投影/阴影（模糊+偏移）,Drop box shadow with blur and offset,style shadow_* / lv_draw_box_shadow,lv_draw_box_shadow,yes,yes,yes (分层近似),hard,滤波核与半宽近似因后端而异；相对 SW 很难 MAE→0,少（如 test_image/test_bar shadow）,test_draw_dropshadow / test_clip_corner,box_shadow_scene / G3 shadows,与 BLUR 同类难点,
LETTER,LV_DRAW_TASK_TYPE_LETTER,2d,always,单字形绘制任务（非整段文本）,Single glyph draw task,lv_draw_letter 直接入队；LABEL 内部多走 glyph 回调而非独立 LETTER,lv_draw_letter,yes,yes,yes,medium_to_hard,字形 hinting/子像素与 SW 不一致,widgets 几乎不直接发 LETTER,test_draw_letter,无独立 scene（由 LABEL 拆出）,勿把 LABEL 用例等同 LETTER 覆盖,
LABEL,LV_DRAW_TASK_TYPE_LABEL,2d,always,整段文本（换行/选中/装饰等）,Multi-glyph text run,lv_label / textarea / span / lv_draw_label,lv_draw_label,yes,yes (atlas),yes (atlas),medium_to_hard,字体栅格与 AA 差异,test_label / test_span / test_textarea 等,test_draw_label,label_scene / G3 titles,最常见文字路径,
IMAGE,LV_DRAW_TASK_TYPE_IMAGE,2d,always,位图/纹理图像绘制,Bitmap / texture image blit,lv_image / bg_image / lv_draw_image,lv_draw_image,yes,yes,yes,low_to_medium,无变换时易贴近；旋转/缩放/色键抬高 MAE,test_image / animimg / imagebutton / lottie,test_image_formats / colorkey / cache / bg_image,image_scene,解码格式覆盖在 draw 测试更全,
LAYER,LV_DRAW_TASK_TYPE_LAYER,2d,always,子层合成（变换/半透明/blend 后 blit）,Blend a rendered child layer/FBO,transform / opa_layered / blend_mode / bitmap_mask → layer,lv_draw_layer,yes,yes,yes,medium,变换滤波与中间 FBO 精度差异,test_obj_transform / roller 旋转等,test_draw_layer / test_layer_transform,layer_scene,常依赖其它 task 先画满子层,
LINE,LV_DRAW_TASK_TYPE_LINE,2d,always,线段（宽度/端点样式）,Straight line segment,lv_line / scale ticks / lv_draw_line,lv_draw_line,yes,yes,yes,low_to_medium,细线 AA 可导致 1px 级差,test_line（功能为主）,canvas 等间接,line_scene,,
ARC,LV_DRAW_TASK_TYPE_ARC,2d,always,圆弧/环形指示器,Arc / circular indicator,lv_arc / spinner / arclabel / lv_draw_arc,lv_draw_arc,yes,yes,yes,medium_to_hard,曲线 AA 与端点处理差异大,test_arc / spinner / arclabel,较少专用 draw 文件,arc_scene,,
