function,category,return_type,has_doxygen,brief,parameters
nema_checkGPUPresence,init,int,Y,Check if a known GPU is present,return=-1 if no known GPU is present
nema_bind_tex,texture,void,Y,Program a Texture Unit,"texid=Texture unit to be programmed; addr_gpu=Texture's address as seen by the GPU; width=Texture's width; height=Texture's height; format=Texture's format; stride=Texture's stride. If stride < 0, it's left to be calculated; wrap_mode=Wrap/Repeat mode to be used. When using 'repeat' or 'mirror', texture dimensions must be a power of two. Otherwise the behavior is undefined."
nema_set_tex_color,texture,void,Y,Set Texture Mapping default color,color=default color in 32-bit RGBA format; see=nema_rgba()
nema_set_const_reg,state,void,Y,Write a value to a Constant Register of the GPU,reg=Constant Register to be written; value=Value to be written
nema_set_clip,state,void,Y,Sets the drawing area's Clipping Rectangle,x=Clip Window top-left x coordinate; y=Clip Window minimum y; w=Clip Window width; h=Clip Window height
nema_enable_gradient,mode,void,Y,Sets the drawing area's Clipping Rectangle,x=Clip Window top-left x coordinate; y=Clip Window minimum y; w=Clip Window width; h=Clip Window height
nema_enable_depth,mode,void,N,,
nema_enable_aa,mode,uint32_t,Y,Enables MSAA per edge,e0=Enable MSAA for edge 0 (vertices 0-1); e1=Enable MSAA for edge 1 (vertices 1-2); e2=Enable MSAA for edge 2 (vertices 2-3); e3=Enable MSAA for edge 3 (vertices 3-0); return=previous AA flags (may be ignored)
nema_enable_aa_flags,mode,uint32_t,Y,Enables MSAA per edge,"aa=A combination of the flags RAST_AA_E0, RAST_AA_E1, RAST_AA_E2, RAST_AA_E3; return=previous AA flags (may be ignored)"
nema_get_dirty_region,debug,void,Y,Returns the bounding rectangle of all the pixels that have been modified since its previous call. Available only on Nema|P and Nema|PVG GPUs.,minx=x coordinate of the upper left corner of the dirty region; miny=y coordinate of the upper left corner of the dirty region; maxx=x coordinate of the lower right corner of the dirty region; maxy=y coordinate of the lower right corner of the dirty region
nema_clear_dirty_region,debug,void,Y,Clear dirty region information - runs via the bound command-list Available only on Nema|P and Nema|PVG GPUs.,see=nema_get_dirty_region(); see=nema_clear_dirty_region_imm()
nema_clear_dirty_region_imm,debug,void,Y,"Clear dirty region information immediately, no command-list involved Available only on Nema|P and Nema|PVG GPUs.",see=nema_get_dirty_region(); see=nema_clear_dirty_region()
nema_tri_cull,mode,void,Y,Set triangle/quadrilateral culling mode,cull=Culling mode
nema_format_size,texture-utility,int,Y,Return pixel size in bytes,format=Color format; return=Pixel size in bytes
nema_stride_size,texture-utility,int,Y,Return stride in bytes,"format=Color format; wrap_mode=Wrap/Repeat mode to be used. When using 'repeat' or 'mirror', texture dimensions must be a power of two. Otherwise the behavior is undefined.; width=Texture color format; return=Stride in bytes"
nema_texture_size,texture-utility,int,Y,Return texture size in bytes,"format=Texture color format; wrap_mode=Wrap/Repeat mode to be used. When using 'repeat' or 'mirror', texture dimensions must be a power of two. Otherwise the behavior is undefined.; width=Texture width; height=Texture height; return=Texture size in bytes"
nema_rgba,color-utility,uint32_t,Y,Return Nema internal RGBA color,R=Red component; G=Green component; B=Blue component; A=Alpha component; return=RGBA value
nema_premultiply_rgba,color-utility,uint32_t,Y,Premultiply RGB channels with Alpha channel,rgba=RGBA color; return=Premultiplied RGBA color
nema_init,init,int,Y,Initialize NemaGFX library,return=negative value on error
nema_reinit,init,int,Y,Reinitialize NemaGFX library,return=negative value on error
