draw_task,enum_name,nema_supported,evaluate_condition,impl_file,entry_fn,setup_apis_nema_graphics_h,primary_draw_apis_nema_graphics_h,blend_color_apis_related_headers,vg_or_other_apis_not_in_nema_graphics_h,cmdlist_submit,fallback_or_gap,notes
NONE,LV_DRAW_TASK_TYPE_NONE,n/a,n/a,—,—,—,—,—,—,—,n/a,Sentinel; not dispatched
FILL,LV_DRAW_TASK_TYPE_FILL,yes,"LV_USE_NEMA_VG: always; else only solid (grad.dir==NONE)",lv_draw_nema_gfx_fill.c,lv_draw_nema_gfx_fill,"nema_set_clip; nema_bind_dst_tex; nema_rgba; nema_premultiply_rgba","solid: nema_fill_rect | nema_fill_rounded_rect_aa (provisional.h)","nema_set_blend_fill (nema_blender.h)","grad path (LV_USE_NEMA_VG): nema_vg_paint_*; nema_vg_grad_set; nema_vg_draw_rect | nema_vg_draw_rounded_rect; nema_vg_set_blend (nema_vg*.h)",nema_cl_submit (nema_cmdlist.h),"without NEMA_VG: gradient FILL not claimed → SW","Rounded AA fill is nema_fill_rounded_rect_aa in nema_provisional.h (not base graphics.h prototypes list in older docs)"
BORDER,LV_DRAW_TASK_TYPE_BORDER,partial,"claims only if not (partial side + radius>0) AND radius>width",lv_draw_nema_gfx_border.c,lv_draw_nema_gfx_border,"nema_set_clip; nema_bind_dst_tex; nema_rgba; nema_premultiply_rgba; nema_enable_aa","full rounded: nema_draw_rounded_rect_aa (provisional.h); partial sides: nema_fill_rect_f","nema_set_blend_fill (nema_blender.h)",—,nema_cl_submit,"partial-side rounded borders → not preferred","Straight/partial borders built from AA-enabled float rect fills"
BOX_SHADOW,LV_DRAW_TASK_TYPE_BOX_SHADOW,no,evaluate default reject,—,—,—,—,—,—,—,SW / other unit,No NemaGFX handler
LETTER,LV_DRAW_TASK_TYPE_LETTER,no,not in evaluate switch,—,—,—,—,—,—,—,SW / other unit,"Standalone LETTER task not claimed; glyphs drawn inside LABEL via glyph cb"
LABEL,LV_DRAW_TASK_TYPE_LABEL,yes,bitmap_format != LV_FONT_FMT_TXT_COMPRESSED,lv_draw_nema_gfx_label.c,lv_draw_nema_gfx_label,"nema_bind_dst_tex; nema_set_clip; nema_rgba; nema_bind_src_tex; nema_set_tex_color; nema_set_const_color; nema_blit_rect","bitmap glyph: nema_blit_rect; transformed A8 strip: nema_set_matrix + nema_raster_rect (nema_raster.h)","nema_set_blend_blit (nema_blender.h)","FT outline (LV_USE_FREETYPE+NEMA_VG): nema_vg_path_*; nema_vg_paint_*; nema_vg_draw_path; selection/decor may call FILL/BORDER/IMAGE helpers",nema_cl_submit + nema_cl_wait,"compressed bitmap fonts → SW","Glyph path uses graphics blit; outline uses VG path API"
IMAGE,LV_DRAW_TASK_TYPE_IMAGE,yes,"cf supported; blend!=SUBTRACTIVE; recolor only if NEMA_BLOP_RECOLOR",lv_draw_nema_gfx_img.c,lv_draw_nema_gfx_img,"nema_set_clip; nema_bind_dst_tex; nema_bind_src_tex | nema_bind_lut_tex; nema_bind_tex(NEMA_TEX3 mask); nema_rgba; nema_set_const_color; nema_set_recolor_color (blender.h)","no transform: nema_blit_rect; transform: nema_blit_quad_fit (+ nema_mat3x3_* from nema_matrix3x3.h)","nema_set_blend_blit (nema_blender.h)",—,nema_cl_submit,"unsupported CF / subtractive / old-SDK recolor → SW","Layer compose reuses this path"
LAYER,LV_DRAW_TASK_TYPE_LAYER,yes,preference_score>80 → claim,lv_draw_nema_gfx_layer.c,lv_draw_nema_gfx_layer,same as IMAGE (delegates),same as IMAGE (nema_blit_rect / nema_blit_quad_fit),same as IMAGE,—,nema_cl_submit via img,—,lv_draw_nema_gfx_layer wraps layer buf as image src then calls lv_draw_nema_gfx_img
LINE,LV_DRAW_TASK_TYPE_LINE,partial,"not dashed AND not round_start/round_end",lv_draw_nema_gfx_line.c,lv_draw_nema_gfx_line,"nema_set_clip; nema_bind_dst_tex; nema_rgba","nema_draw_line_aa","nema_set_blend_fill (nema_blender.h)",—,nema_cl_submit,"dashed or round caps → SW","Dispatched via lv_draw_line_iterate → lv_draw_nema_gfx_line"
ARC,LV_DRAW_TASK_TYPE_ARC,yes_if_NEMA_VG,LV_USE_NEMA_VG only,lv_draw_nema_gfx_arc.c,lv_draw_nema_gfx_arc,"nema_set_clip; nema_rgba",— (no fill/blit from graphics.h for stroke ring),—,"nema_vg_paint_clear/set_type/set_paint_color/set_stroke_width; nema_vg_set_blend; nema_vg_draw_ring | nema_vg_draw_ring_generic (nema_vg.h)",nema_cl_submit,"without NEMA_VG: ARC not executed by unit","Primary stroke is NemaVG not nema_draw_circle_aa"
